Carimbo de data/hora,Curso,Semestre,Idade,Sexo,Frase [Faço amigos com facilidade na minha universidade.],Frase [Acredito que posso concretizar meus valores na profissão que escolhi.],Frase [Mesmo que pudesse não mudaria de universidade.],Frase [Costumo ter variações de humor.],"Frase [Olhando para trás, consigo identificar as razões que me levaram a escolher este curso.]",Frase [Nos estudos não estou conseguindo acompanhar o ritmo dos meus colegas de turma.],Frase [Escolhi bem o curso que frequento.],Frase [Tenho boas qualidades para a área profissional que escolhi.],Frase [Sinto-me triste ou abatido.],Frase [Administro bem meu tempo.],Frase [Ultimamente me sinto desorientado e confuso.],Frase [Tenho sido estimulado pelos meus professores na universidade a me desenvolver profissionalmente.],Frase [Gosto da universidade em que estudo.],Frase [Há situações em que sinto que estou perdendo o controle.],Frase [Sinto-me envolvido com o meu curso.],Frase [Conheço bem os serviços oferecidos pela minha universidade.],Frase [Gostaria de concluir o meu curso na instituição que agora frequento.],"Frase [Nos últimos tempos, me tornei mais pessimista.]",Frase [Meus colegas têm sido importantes para meu crescimento pessoal.],Frase [Minha trajetória universitária corresponde às minhas expectativas vocacionais.],Frase [Sinto cansaço e sonolência durante o dia.],Frase [Acredito que o meu curso me possibilitará a realização profissional.],Frase [Gosto das aulas do meu curso de graduação.],Frase [Acredito possuir bons amigos na universidade.],Frase [Sinto-me em forma e com um bom ritmo de trabalho.],Frase [Tenho desenvolvido amizades satisfatórias com os meus colegas de curso.],Frase [Tenho momentos de angústia.],Frase [Tenho dificuldades em achar um colega que me ajude num problema pessoal.],Frase [Não consigo concentrar-me numa tarefa durante muito tempo.],Frase [Faço um planejamento diário das coisas que tenho para fazer.],Frase [Tenho boas relações de amizade com colegas de ambos os sexos.],Frase [Consigo ter o trabalho escolar sempre em dia.],Frase [Quando conheço novos colegas não sinto dificuldades em iniciar uma conversa.],Frase [Escolhi o curso que me parece mais de acordo com as minhas aptidões e capacidades.],Frase [Há situações em sala de aula que os professores diminuem minha autoestima.],Frase [Sou visto como uma pessoa amigável e simpática.],Frase [Penso em muitas coisas que me deixam triste.],Frase [Procuro conviver com meus colegas fora dos horários das aulas.],Frase [Sei estabelecer prioridades no que diz respeito à organização do meu tempo.],Frase [Tomo a iniciativa de convidar os meus amigos para sair.],"Frase [Minhas relações de amizade são cada vez mais estáveis, duradouras e independentes.]",Frase [Faço boas anotações das aulas.],Frase [Sinto-me fisicamente delibitado.],Frase [Sinto-me encorajado para falar com meus professores.],Frase [A minha universidade não me desperta interesse.],Frase [Consigo ser eficaz na minha preparação para as provas.],Frase [A biblioteca da minha universidade é completa.],Frase [Procuro sistematizar/organizar a informação dada nas aulas. ],Frase [Simpatizo com a cidade onde se situa minha universidade.],Frase [Tenho dificuldades em tomar decisões.],Frase [Sinto-me desiludido com o meu curso.],Frase [Tenho capacidade para estudar.],Frase [Meus gostos pessoais foram decisivos na escolha do meu curso.],Frase [Tenho me sentido ansioso.],Frase [Estou no curso que sempre sonhei.],Frase [Sinto-me feliz com a forma como meus professores me tratam.],Frase [Sou pontual na chegada às aulas.],Frase [O meu curso tem boa infraestrutura.],Frase [Não consigo fazer amizade com meus colegas.],Frase [Mesmo que pudesse não mudaria de curso.],O que você achou deste questionário?
3/22/2018 10:40:11,Design,1º semestre,18 a 21 anos,Feminino,3,5,3,2,5,1,5,5,2,5,3,5,5,3,5,4,3,2,3,4,1,4,5,3,3,4,5,1,4,3,3,3,3,4,4,4,1,4,3,5,3,5,1,2,1,4,3,3,4,5,1,5,5,4,4,5,5,4,2,4,Gostei
3/22/2018 10:40:52,Engenharia Civil,"""Fatorial"": no caso de você está fazendo disciplinas de diferentes/vários semestres.",26 a 29 anos,Masculino,4,5,3,2,4,3,4,5,5,5,4,1,1,2,1,4,5,5,4,3,3,4,1,4,5,4,3,1,2,5,5,3,1,5,5,3,2,4,5,4,4,2,3,1,5,3,4,4,4,1,5,5,5,2,4,1,3,2,1,5,Que não vai mudar em nada a dinâmica da relação entre professores e alunos. A soberba dos primeiros não permite isso.
3/22/2018 10:41:54,Engenharia de Petróleo,3º semestre,30 anos ou mais,Feminino,4,4,5,3,4,3,4,4,3,3,3,3,5,3,3,3,5,3,3,2,4,4,3,4,3,4,4,2,3,3,5,3,4,4,3,3,3,3,3,3,4,5,2,3,1,3,3,4,5,2,1,5,5,4,3,3,3,3,1,4,
3/22/2018 10:42:45,Engenharia de Produção Mecânica,7º semestre,22 a 25 anos,Masculino,4,4,5,4,3,2,2,2,4,3,3,4,4,3,3,3,5,4,5,4,4,2,4,4,3,4,4,4,2,2,4,1,3,2,3,4,4,4,3,3,3,3,1,4,1,4,4,4,1,3,2,2,2,5,2,5,5,5,1,1,Completo.
3/22/2018 10:43:21,Engenharia Civil,1º semestre,18 a 21 anos,Feminino,2,1,1,4,1,5,1,4,4,2,5,5,4,5,1,3,1,4,3,1,5,2,4,2,2,3,5,5,3,4,2,5,2,5,3,1,5,1,4,1,1,5,1,2,1,3,1,2,1,5,5,5,1,4,1,4,5,5,4,1,Bastante útil
3/22/2018 10:43:40,Design,1º semestre,18 a 21 anos,Feminino,3,4,5,3,4,4,4,4,2,3,4,4,4,3,4,4,4,2,3,4,3,5,4,3,4,4,4,3,3,3,4,2,3,4,2,3,2,3,4,3,3,2,3,2,1,3,2,3,3,3,2,4,4,4,5,3,4,3,1,5,Interessante
3/22/2018 10:45:34,Design,1º semestre,18 a 21 anos,Masculino,3,5,5,5,5,4,5,4,3,1,5,4,5,5,4,2,5,4,5,3,4,5,4,5,1,4,4,1,5,3,3,2,3,5,4,3,3,3,3,4,3,2,3,3,1,3,3,4,3,5,3,4,5,5,4,4,3,5,2,4,"Muitas perguntas importantes, mas teve umas que da pra retirar pra deixar o questionário mais dinâmico pois chega uma hora que fica um tanto massivo"
3/22/2018 10:47:44,Engenharia Elétrica,3º semestre,18 a 21 anos,Masculino,3,5,5,1,5,3,5,5,1,3,1,2,4,2,3,3,4,1,2,4,4,5,4,4,3,3,2,3,3,2,4,2,4,4,2,3,1,1,4,1,3,2,2,2,1,3,4,4,5,2,1,5,5,1,5,3,5,2,3,5,Interessante
3/22/2018 10:48:36,Engenharia Metalúrgica,1º semestre,18 a 21 anos,Feminino,2,4,5,2,4,5,4,4,3,3,4,3,5,4,3,2,5,4,2,4,5,4,4,2,2,2,3,5,5,2,2,3,2,5,1,1,3,1,4,1,2,3,2,1,1,1,4,4,3,4,3,3,5,5,4,3,4,4,5,3,satisfatorio 
3/22/2018 10:51:25,Engenharia Química,"""Fatorial"": no caso de você está fazendo disciplinas de diferentes/vários semestres.",22 a 25 anos,Masculino,3,3,1,4,4,2,2,2,4,2,3,1,3,3,2,2,3,2,1,3,2,3,1,2,2,1,5,5,3,3,4,4,4,2,4,3,5,2,4,3,1,2,2,1,4,3,2,3,2,4,4,3,4,4,3,2,4,2,3,2,bom
3/22/2018 10:52:37,Engenharia de Telecomunicações,10º semestre,30 anos ou mais,Masculino,5,5,5,3,5,1,3,5,4,4,3,3,5,2,2,3,5,3,5,5,4,3,3,5,4,5,2,1,1,2,5,4,5,5,3,4,2,5,5,5,5,5,1,5,1,4,5,5,5,1,5,5,5,5,4,4,5,4,1,2,Bem completo e de acordo com o tema.
3/22/2018 10:52:51,Engenharia Mecânica,"""Fatorial"": no caso de você está fazendo disciplinas de diferentes/vários semestres.",18 a 21 anos,Masculino,2,3,2,2,4,3,3,4,4,2,2,1,2,3,1,3,2,4,2,3,4,2,2,4,2,4,4,3,4,1,3,2,1,4,3,4,3,4,2,3,2,1,3,2,3,4,4,2,4,2,5,4,3,4,2,2,3,1,3,1,"É um bom questionário, bem completo."
3/22/2018 10:53:11,Engenharia Química,5º semestre,18 a 21 anos,Masculino,3,3,5,5,5,4,4,5,4,2,4,3,4,3,3,3,5,5,5,4,5,4,2,5,3,5,5,1,2,2,5,1,2,4,4,3,3,4,3,2,3,1,1,2,3,4,2,1,1,2,2,5,5,5,4,3,5,3,1,5,"Confuso, bagunçado "
3/22/2018 10:53:25,Engenharia Química,"10º semestre, ""Fatorial"": no caso de você está fazendo disciplinas de diferentes/vários semestres.",26 a 29 anos,Masculino,4,3,2,5,1,2,1,5,4,2,3,1,1,4,3,4,1,3,4,3,4,2,1,4,3,4,4,4,2,4,4,2,4,4,4,4,2,4,4,3,4,4,5,1,4,4,2,4,4,2,5,5,4,4,2,1,4,1,1,1,Uma boa ideia 
3/22/2018 10:53:49,Engenharia Civil,5º semestre,18 a 21 anos,Feminino,4,4,4,4,3,3,2,3,3,2,5,3,4,3,3,3,5,4,5,4,4,4,3,5,2,5,3,1,3,5,5,2,4,3,2,4,3,5,4,4,4,4,4,4,2,4,2,4,4,3,2,5,4,3,1,4,1,4,1,3,Muito interessante que a Universidade esteja interessada nos assuntos que aborda nas perguntas. 
3/22/2018 10:55:00,Engenharia de Telecomunicações,7º semestre,26 a 29 anos,Feminino,3,4,4,3,5,3,5,5,4,2,3,3,3,3,3,3,4,4,5,2,3,4,4,3,3,3,3,2,4,3,3,2,3,4,3,2,3,3,2,2,3,4,4,3,2,2,1,3,4,4,2,4,4,5,5,2,2,2,3,4,Acho que faltou avaliar a questão de como a universidade lida com as dificuldades do estudante que é trabalhador.
3/22/2018 10:59:03,Engenharia Química,"""Fatorial"": no caso de você está fazendo disciplinas de diferentes/vários semestres.",22 a 25 anos,Feminino,4,4,3,2,4,2,4,4,1,4,1,3,4,1,4,3,4,1,5,4,3,4,4,5,4,4,2,1,2,3,4,3,4,4,4,4,1,4,4,4,4,4,1,4,1,4,3,4,5,1,2,5,5,3,2,4,4,4,1,3,"Longo, mas pode dar boas respostas sobre o perfil dos alunos."
3/22/2018 10:59:21,Engenharia Mecânica,1º semestre,Menos de 18 anos,Masculino,3,5,5,2,5,2,5,5,1,3,1,2,5,1,5,3,5,1,4,5,2,5,4,3,3,3,1,1,2,3,5,4,4,5,1,4,1,3,4,3,3,3,1,3,1,3,4,4,4,3,1,5,5,3,4,5,4,4,2,5,Bem abrangente 
3/22/2018 10:59:30,Arquitetura e Urbanismo,"4º semestre, ""Fatorial"": no caso de você está fazendo disciplinas de diferentes/vários semestres.",18 a 21 anos,Feminino,1,4,2,3,5,5,4,3,5,2,5,1,4,5,2,1,3,4,1,1,3,4,4,2,1,2,5,3,3,1,3,4,1,4,3,4,3,4,3,3,1,1,3,1,5,2,3,1,3,1,3,3,5,3,3,2,2,3,2,2,Muito bom.
3/22/2018 10:59:33,Engenharia de Petróleo,1º semestre,18 a 21 anos,Feminino,3,4,5,5,4,3,4,4,3,3,2,4,4,4,4,3,5,2,4,4,3,4,4,4,3,3,3,3,3,3,4,4,4,4,2,4,2,2,2,3,3,3,2,2,1,3,2,3,4,2,2,4,3,4,4,4,4,3,2,4,ótimo para saber sobre como os alunos estão lidando
3/22/2018 10:59:51,Engenharia Elétrica,"7º semestre, ""Fatorial"": no caso de você está fazendo disciplinas de diferentes/vários semestres.",18 a 21 anos,Masculino,4,4,5,3,4,2,4,4,3,3,2,4,4,2,4,4,5,3,5,5,3,5,5,3,3,3,5,3,4,1,5,4,5,5,4,5,5,5,3,5,4,5,5,4,4,4,5,5,5,1,1,4,4,4,4,4,5,4,1,2,
3/22/2018 11:01:55,Engenharia Mecânica,9º semestre,18 a 21 anos,Masculino,3,3,3,2,4,3,3,2,3,2,3,2,3,3,3,4,4,3,5,3,2,3,3,5,3,5,3,1,4,3,5,3,3,3,4,3,4,4,3,3,4,1,1,3,3,4,2,3,4,4,2,4,4,4,3,3,4,3,1,3,"Interessante, porém, acredito que tal questionário não possibilite o completo entendimento da vivência acadêmica."
3/22/2018 11:04:42,Engenharia de Computação,"""Fatorial"": no caso de você está fazendo disciplinas de diferentes/vários semestres.",22 a 25 anos,Masculino,4,5,2,1,5,1,5,5,1,4,1,1,3,1,1,3,5,3,5,3,5,5,1,5,3,5,1,1,1,1,5,4,3,5,2,4,1,5,5,3,3,1,1,5,3,3,1,1,1,1,3,5,5,5,3,5,1,1,1,5,
3/22/2018 11:05:10,Engenharia Química,"7º semestre, ""Fatorial"": no caso de você está fazendo disciplinas de diferentes/vários semestres.",18 a 21 anos,Masculino,4,3,5,5,5,5,4,3,4,3,3,2,4,3,4,4,5,4,5,4,5,2,3,3,3,4,3,3,3,3,5,4,3,4,5,4,4,4,3,3,4,4,5,3,3,3,4,4,3,5,4,3,4,4,4,3,5,4,3,4,"Completo, direto e interessante."
3/22/2018 11:05:56,Engenharia de Computação,"""Fatorial"": no caso de você está fazendo disciplinas de diferentes/vários semestres.",22 a 25 anos,Feminino,2,1,5,5,2,4,1,1,5,1,5,1,5,5,2,5,5,5,1,1,5,1,1,1,1,1,5,1,5,1,1,1,1,1,5,1,5,1,1,1,1,1,2,1,2,2,5,1,5,5,5,1,1,5,1,1,5,5,1,5,"Bom, mas acho que os resultados não vão melhorar em nada a minha experiência acadêmica."
3/22/2018 11:06:45,Engenharia Elétrica,9º semestre,18 a 21 anos,Feminino,4,4,3,4,3,3,3,4,4,3,2,1,2,4,2,4,4,3,4,4,5,4,2,4,2,4,5,2,3,4,5,3,4,3,5,5,4,5,4,4,4,4,5,2,3,3,4,4,4,5,2,4,3,5,3,1,4,2,1,3,bom
3/22/2018 11:10:08,Engenharia Química,5º semestre,18 a 21 anos,Feminino,3,3,2,4,1,3,4,4,4,2,5,4,4,5,3,3,4,5,3,3,5,3,4,3,2,3,4,3,4,4,3,1,3,3,3,4,5,4,2,2,2,4,3,3,2,3,5,4,3,4,4,4,3,5,1,3,3,4,2,3,"Longo, com algumas perguntas repetitivas, porém com o objetivo admirável"
3/22/2018 11:10:22,Engenharia Mecânica,1º semestre,18 a 21 anos,Masculino,3,5,3,1,5,1,5,5,1,4,1,5,5,1,5,3,5,1,1,5,3,5,5,5,4,4,1,1,1,5,4,4,3,5,1,2,1,2,5,3,5,5,1,5,1,5,5,5,3,1,1,5,5,1,4,5,5,5,1,5,Massa
3/22/2018 11:15:03,Design,"""Fatorial"": no caso de você está fazendo disciplinas de diferentes/vários semestres.",22 a 25 anos,Feminino,3,3,2,4,4,4,3,3,5,1,5,3,3,5,3,1,4,5,3,3,5,2,3,4,2,4,5,5,5,2,3,2,1,4,3,2,5,3,1,2,3,2,4,3,3,1,3,3,1,5,5,3,4,5,2,3,4,4,2,2,
3/22/2018 11:17:04,Arquitetura e Urbanismo,1º semestre,18 a 21 anos,Masculino,4,3,3,2,4,2,4,3,3,4,3,3,3,4,3,4,4,4,3,2,4,4,4,3,3,3,4,4,3,3,4,3,4,4,4,4,4,3,3,4,3,2,3,3,3,3,2,2,3,4,3,4,4,5,4,4,4,3,1,5,longo 
3/22/2018 11:19:33,Engenharia de Produção Mecânica,9º semestre,22 a 25 anos,Feminino,4,4,5,3,2,2,4,4,3,3,4,3,4,4,3,3,5,5,5,4,4,4,2,5,3,5,4,1,4,4,4,3,3,4,4,3,4,5,4,5,5,3,2,3,3,4,4,2,3,2,2,3,4,4,3,3,3,4,1,5,Muito longo
3/22/2018 11:20:18,Engenharia Ambiental,3º semestre,18 a 21 anos,Feminino,3,5,4,4,5,4,5,4,1,4,1,1,5,4,3,3,5,2,4,4,4,5,3,4,3,4,3,4,2,5,5,5,3,4,1,4,1,3,5,1,4,4,1,2,1,3,3,3,4,2,1,5,5,3,5,4,4,5,1,5,"Eu gostei, pois aborda todas as aréas de forma direta e indireta que envolve a vida do universitário."
3/22/2018 11:20:48,Engenharia Química,5º semestre,18 a 21 anos,Masculino,1,1,5,5,3,5,3,2,5,1,2,5,5,4,4,2,5,5,5,3,5,3,5,4,2,2,4,1,5,1,4,3,2,2,5,5,5,3,1,1,4,1,4,2,3,2,5,2,2,5,4,4,5,5,4,3,1,4,5,4,
3/22/2018 11:21:25,Engenharia Civil,1º semestre,18 a 21 anos,Masculino,3,5,4,1,5,3,5,5,2,3,2,4,4,4,4,3,5,2,4,5,5,5,5,4,4,5,1,4,3,3,5,4,4,5,1,4,4,4,3,2,3,3,1,3,1,3,4,3,5,2,3,5,5,4,3,5,5,4,1,5,"Objetivo, prático"
3/22/2018 11:23:36,Engenharia de Produção Mecânica,"""Fatorial"": no caso de você está fazendo disciplinas de diferentes/vários semestres.",18 a 21 anos,Masculino,4,5,3,5,5,5,5,5,4,3,3,4,4,5,4,3,5,5,4,3,4,5,4,5,2,4,5,2,4,2,5,2,4,5,3,5,5,4,3,3,4,3,4,3,3,2,1,1,4,3,1,4,5,5,4,5,4,1,1,5,"Espero que possam ver os males que a universidade traz quando temos professores que só são voltados para a área da pesquisa e nos sugam, nao falo isso pelo meu curso atual mas sim na engenharia metalurgica na qual existe professores despreparados e que abusam e assediam psicologicamente seus alunos, tanto que foi um dos motivos de saída minha do curso."
3/22/2018 11:24:33,Engenharia Mecânica,9º semestre,18 a 21 anos,Feminino,3,5,5,2,3,2,5,4,3,2,3,2,4,1,3,2,5,3,3,3,5,4,2,3,3,3,4,4,2,2,4,2,4,4,3,5,3,2,2,2,2,3,3,1,1,3,5,3,4,3,3,4,3,4,3,2,4,1,2,5,"chato, longo e repetitivo."
3/22/2018 11:27:02,Engenharia de Produção Mecânica,1º semestre,18 a 21 anos,Masculino,4,4,5,2,5,3,5,5,1,3,2,4,4,3,4,3,5,2,4,4,2,5,3,5,4,5,3,1,1,3,5,3,3,5,3,5,1,5,3,2,4,4,2,3,1,4,4,4,2,1,1,5,5,3,5,3,5,4,1,5,Completo
3/22/2018 11:28:02,Engenharia Ambiental,1º semestre,18 a 21 anos,Feminino,2,4,4,3,4,3,3,4,3,2,4,1,4,3,3,3,4,3,2,3,3,4,3,3,3,3,3,4,3,3,3,3,2,2,4,2,3,2,3,2,3,2,2,2,4,3,3,3,2,3,2,3,3,3,2,3,3,3,3,1,
3/22/2018 11:31:23,Engenharia de Computação,1º semestre,Menos de 18 anos,Feminino,2,4,4,5,5,2,3,5,1,5,4,2,4,5,3,4,3,3,2,2,1,4,3,2,2,1,4,5,1,4,4,3,1,5,2,3,3,2,4,1,5,5,3,4,1,4,5,5,4,5,4,5,5,2,3,5,3,5,5,3,
3/22/2018 11:32:51,Engenharia de Telecomunicações,"""Fatorial"": no caso de você está fazendo disciplinas de diferentes/vários semestres.",22 a 25 anos,Masculino,3,3,2,1,4,3,3,4,3,3,3,1,4,3,2,3,5,3,2,3,5,4,3,4,2,4,2,4,2,4,5,2,5,4,3,4,2,4,3,4,4,3,3,3,2,2,2,3,5,2,3,3,4,3,4,3,3,3,2,3,
3/22/2018 11:34:03,Engenharia de Produção Mecânica,7º semestre,22 a 25 anos,Masculino,3,5,1,4,5,1,5,5,1,1,2,3,5,3,4,4,5,3,2,2,3,4,3,3,2,3,2,4,1,1,5,1,4,5,5,2,3,3,2,4,3,3,1,4,2,3,1,2,4,3,3,5,5,3,2,1,4,3,3,4,
3/22/2018 11:34:06,Engenharia de Produção Mecânica,5º semestre,18 a 21 anos,Masculino,1,3,1,1,4,3,4,4,2,3,4,3,1,1,3,4,1,3,1,3,4,4,4,1,2,1,3,3,2,4,1,2,4,4,4,4,3,1,3,4,1,4,3,2,1,3,4,4,1,3,4,4,3,3,3,3,2,3,5,1,Bem conciso 
3/22/2018 11:34:26,Engenharia Elétrica,1º semestre,Menos de 18 anos,Masculino,2,2,2,1,2,1,2,2,1,2,1,2,2,1,2,1,2,1,2,2,1,2,2,2,2,2,1,1,1,1,2,2,1,2,1,1,1,2,2,2,2,2,1,2,1,2,2,2,2,1,1,2,2,1,2,2,2,2,1,2,Interessante
3/22/2018 11:34:30,Engenharia Metalúrgica,1º semestre,Menos de 18 anos,Feminino,4,5,5,3,3,1,5,5,1,3,1,2,5,1,4,3,5,2,4,4,4,5,5,4,3,5,1,2,5,1,5,4,5,5,1,5,1,5,5,5,5,4,1,3,1,4,4,4,4,3,1,5,5,2,3,4,5,3,1,5,Interessante.
3/22/2018 11:34:40,Engenharia de Computação,7º semestre,30 anos ou mais,Masculino,3,4,5,2,4,2,4,4,2,2,3,4,4,2,4,4,4,2,4,4,3,4,4,4,3,4,3,3,3,2,3,3,4,4,2,4,3,2,3,2,3,4,3,4,2,3,1,4,4,3,2,4,4,4,4,4,4,4,2,4,confuso
3/22/2018 11:34:50,Engenharia Civil,"""Fatorial"": no caso de você está fazendo disciplinas de diferentes/vários semestres.",22 a 25 anos,Feminino,2,1,2,5,2,3,1,4,5,2,5,1,1,5,1,3,3,5,2,1,5,1,1,3,1,2,5,5,5,3,2,1,3,3,5,2,5,2,2,3,3,1,5,1,5,1,4,1,2,4,5,3,3,5,2,2,3,3,4,1,Espero que tenha alguma utilidade
